Level,Date and Time,Source,Event ID,Task Category
Information,12/1/2020 2:30:58 PM,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		DESKTOP-6KRAAR8\Rajesh Kumar
	Account Name:		Rajesh Kumar
	Account Domain:		DESKTOP-6KRAAR8
	Logon ID:		0x3FE41

User:
	Security ID:		DESKTOP-6KRAAR8\Rajesh Kumar
	Account Name:		Rajesh Kumar
	Account Domain:		DESKTOP-6KRAAR8

Process Information:
	Process ID:		0x5890
	Process Name:		C:\Windows\System32\mmc.exe"
Information,12/1/2020 2:29:50 PM,Microsoft-Windows-Security-Auditing,5379,User Account Management,"Credential Manager credentials were read.

Subject:
	Security ID:		DESKTOP-6KRAAR8\Rajesh Kumar
	Account Name:		Rajesh Kumar
	Account Domain:		DESKTOP-6KRAAR8
	Logon ID:		0x3FE7B
	Read Operation:		Enumerate Credentials

This event occurs when a user performs a read operation on stored credentials in Credential Manager."
Information,12/1/2020 2:29:50 PM,Microsoft-Windows-Security-Auditing,5379,User Account Management,"Credential Manager credentials were read.

Subject:
	Security ID:		DESKTOP-6KRAAR8\Rajesh Kumar
	Account Name:		Rajesh Kumar
	Account Domain:		DESKTOP-6KRAAR8
	Logon ID:		0x3FE7B
	Read Operation:		Enumerate Credentials

This event occurs when a user performs a read operation on stored credentials in Credential Manager."
Information,12/1/2020 2:29:50 PM,Microsoft-Windows-Security-Auditing,5379,User Account Management,"Credential Manager credentials were read.

Subject:
	Security ID:		DESKTOP-6KRAAR8\Rajesh Kumar
	Account Name:		Rajesh Kumar
	Account Domain:		DESKTOP-6KRAAR8
	Logon ID:		0x3FE7B
	Read Operation:		Enumerate Credentials

This event occurs when a user performs a read operation on stored credentials in Credential Manager."
Information,12/1/2020 2:29:50 PM,Microsoft-Windows-Security-Auditing,5379,User Account Management,"Credential Manager credentials were read.

Subject:
	Security ID:		DESKTOP-6KRAAR8\Rajesh Kumar
	Account Name:		Rajesh Kumar
	Account Domain:		DESKTOP-6KRAAR8
	Logon ID:		0x3FE7B
	Read Operation:		Enumerate Credentials

This event occurs when a user performs a read operation on stored credentials in Credential Manager."
Information,12/1/2020 2:29:50 PM,Microsoft-Windows-Security-Auditing,5379,User Account Management,"Credential Manager credentials were read.

Subject:
	Security ID:		DESKTOP-6KRAAR8\Rajesh Kumar
	Account Name:		Rajesh Kumar
	Account Domain:		DESKTOP-6KRAAR8
	Logon ID:		0x3FE7B
	Read Operation:		Enumerate Credentials

This event occurs when a user performs a read operation on stored credentials in Credential Manager."
Information,12/1/2020 2:29:50 PM,Microsoft-Windows-Security-Auditing,5379,User Account Management,"Credential Manager credentials were read.

Subject:
	Security ID:		DESKTOP-6KRAAR8\Rajesh Kumar
	Account Name:		Rajesh Kumar
	Account Domain:		DESKTOP-6KRAAR8
	Logon ID:		0x3FE7B
	Read Operation:		Enumerate Credentials

This event occurs when a user performs a read operation on stored credentials in Credential Manager."
Information,12/1/2020 2:29:50 PM,Microsoft-Windows-Security-Auditing,5379,User Account Management,"Credential Manager credentials were read.

Subject:
	Security ID:		DESKTOP-6KRAAR8\Rajesh Kumar
	Account Name:		Rajesh Kumar
	Account Domain:		DESKTOP-6KRAAR8
	Logon ID:		0x3FE7B
	Read Operation:		Enumerate Credentials

This event occurs when a user performs a read operation on stored credentials in Credential Manager."
Information,12/1/2020 2:29:50 PM,Microsoft-Windows-Security-Auditing,5379,User Account Management,"Credential Manager credentials were read.

Subject:
	Security ID:		DESKTOP-6KRAAR8\Rajesh Kumar
	Account Name:		Rajesh Kumar
	Account Domain:		DESKTOP-6KRAAR8
	Logon ID:		0x3FE7B
	Read Operation:		Enumerate Credentials

This event occurs when a user performs a read operation on stored credentials in Credential Manager."
Information,12/1/2020 2:29:50 PM,Microsoft-Windows-Security-Auditing,5379,User Account Management,"Credential Manager credentials were read.

Subject:
	Security ID:		DESKTOP-6KRAAR8\Rajesh Kumar
	Account Name:		Rajesh Kumar
	Account Domain:		DESKTOP-6KRAAR8
	Logon ID:		0x3FE7B
	Read Operation:		Enumerate Credentials

This event occurs when a user performs a read operation on stored credentials in Credential Manager."
Information,12/1/2020 2:29:50 PM,Microsoft-Windows-Security-Auditing,5379,User Account Management,"Credential Manager credentials were read.

Subject:
	Security ID:		DESKTOP-6KRAAR8\Rajesh Kumar
	Account Name:		Rajesh Kumar
	Account Domain:		DESKTOP-6KRAAR8
	Logon ID:		0x3FE7B
	Read Operation:		Enumerate Credentials

This event occurs when a user performs a read operation on stored credentials in Credential Manager."
